Date,Description,Amount
2024-01-01,Grocery Supermarket,45.50
2024-01-02,Gas Station Fuel,35.00
2024-01-03,Restaurant Dinner,28.75
2024-01-04,Uber Taxi,12.50
2024-01-05,Electric Bill Utility,120.00
2024-01-06,Coffee Cafe,5.25
2024-01-07,Amazon Electronics,89.99
2024-01-08,Pizza Fast Food,15.75
2024-01-09,Bus Transit,2.75
2024-01-10,Grocery Supermarket,52.30
2024-01-11,Movie Ticket,10.00
2024-01-12,Restaurant Lunch,22.50
2024-01-13,Mobile Phone Bill,45.00
2024-01-14,Nike Shoes Shopping,95.00
2024-01-15,Café Coffee,4.50
2024-01-16,Grocery Supermarket,48.20
2024-01-17,Uber Taxi,18.75
2024-01-18,Internet Bill,50.00
2024-01-19,Restaurant Dinner,35.80
2024-01-20,Parking Fee,8.00
2024-01-21,Book Store,25.00
2024-01-22,Coffee Cafe,5.00
2024-01-23,Grocery Supermarket,61.40
2024-01-24,Gas Station Fuel,38.50
2024-01-25,Restaurant Lunch,19.99
2024-02-01,Grocery Supermarket,55.25
2024-02-02,Gas Station Fuel,40.00
2024-02-03,Restaurant Dinner,32.50
2024-02-04,Uber Taxi,15.25
2024-02-05,Electric Bill Utility,125.00
2024-02-06,Coffee Cafe,6.00
2024-02-07,Amazon Shopping,120.00
2024-02-08,Fast Food Burger,18.75
2024-02-09,Bus Transit,2.75
2024-02-10,Grocery Supermarket,58.80
2024-02-11,Movie Ticket,12.00
2024-02-12,Restaurant Lunch,26.50
2024-02-13,Mobile Phone Bill,45.00
2024-02-14,Valentines Dinner,85.00
2024-02-15,Café Coffee,5.50
2024-02-16,Grocery Supermarket,52.10
2024-02-17,Uber Taxi,22.50
2024-02-18,Internet Bill,50.00
2024-02-19,Restaurant Dinner,38.25
2024-02-20,Parking Fee,8.00
2024-02-21,Book Store,30.00
2024-02-22,Coffee Cafe,5.25
2024-02-23,Grocery Supermarket,72.50
2024-02-24,Gas Station Fuel,42.00
2024-02-25,Restaurant Lunch,23.75
2024-03-01,Grocery Supermarket,48.90
2024-03-02,Gas Station Fuel,37.50
2024-03-03,Restaurant Dinner,29.99
2024-03-04,Uber Taxi,14.00
2024-03-05,Electric Bill Utility,118.00
2024-03-06,Coffee Cafe,5.75
2024-03-07,Amazon Shopping,75.00
2024-03-08,Pizza Fast Food,17.50
2024-03-09,Bus Transit,2.75
2024-03-10,Grocery Supermarket,54.20
2024-03-11,Movie Ticket,11.00
2024-03-12,Restaurant Lunch,24.80
2024-03-13,Mobile Phone Bill,45.00
2024-03-14,Shoes Shopping,110.00
2024-03-15,Café Coffee,5.00
2024-03-16,Grocery Supermarket,59.40
2024-03-17,Uber Taxi,19.75
2024-03-18,Internet Bill,50.00
2024-03-19,Restaurant Dinner,36.50
2024-03-20,Parking Fee,8.00
2024-03-21,Book Store,28.00
2024-03-22,Coffee Cafe,5.50
2024-03-23,Grocery Supermarket,65.80
2024-03-24,Gas Station Fuel,39.00
2024-03-25,Restaurant Lunch,21.25
